Date,Archibald Park Cyclists,Beach Road Cyclists,Carlton Gore Cycle Counter Cyclists,Curran Street Total Cyclists,Dominion Road Total Cyclists,East Coast Road Cyclists,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Road Cyclists,Great North Rd Total,Great South Road Total Cyclists,HighBrook Cyclists,Hopetoun Street Cyclists,Karangahape Road Cyclists,Lagoon Drive Cyclists,Lake Road Total Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Matakana Cyclists,Nelson Street Cyclists,Nelson Street Lightpath Counter Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Waiheke Cyclists,Orewa Path Cyclists,Ormiston Rd Total Cyclists,Pukekohe - Queen St Cyclists,Quay St Spark Arena Total Cyclists,Quay St Totem UZELT Cyclists,Rankin Ave Cyclists,Saint Lukes Rd Total,SH20A path (sth of Kirkbride Rd),SW Shared Path Cyclists,Symonds St Total Cyclists,Tamaki Drive Total Cyclists,TeAtatu Peninsula Pathway Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Cyclists,Upper Harbour  Cyclists,Upper Queen Street Cyclists,Victoria Street West Total Cyclists,Waterview Unitec Counter Cyclists
Fri 6 Apr 2018,,425,295,366,408,80,23,666,454,84,334,90,52,270,608,163,481,346,34,5,589,593,1118,738,158,252,72,13,1379,1258,34,225,,223,482,1477,,820,67,96,202,184,202
Sat 7 Apr 2018,,242,108,386,188,134,32,337,326,35,229,93,27,80,364,231,406,580,33,37,278,347,670,819,172,396,49,7,1165,962,29,173,,206,212,1360,,793,143,302,102,78,293
Sun 8 Apr 2018,,283,102,420,182,135,33,328,393,30,217,55,32,65,373,204,461,875,38,25,292,383,709,898,166,487,96,10,1153,1000,24,190,,328,211,1371,,819,232,350,96,70,416
Mon 9 Apr 2018,,428,317,279,482,92,19,835,573,78,309,100,62,260,682,166,393,379,26,7,782,779,1396,834,189,284,64,5,1356,1079,37,281,,245,556,1394,,716,89,106,193,167,187
Tue 10 Apr 2018,,277,221,133,286,51,29,548,302,106,223,76,25,188,446,131,342,159,5,2,415,375,744,398,96,95,55,9,784,662,14,158,,93,338,824,,383,40,36,122,94,96
Wed 11 Apr 2018,,141,147,79,159,29,29,287,181,60,126,83,20,121,265,70,139,74,16,2,240,203,435,238,63,106,70,8,520,391,15,71,,62,196,556,,277,0,17,121,91,34
Thu 12 Apr 2018,,347,289,259,352,98,29,602,374,84,251,84,47,173,550,162,377,248,18,4,558,504,900,540,91,193,79,6,1083,907,30,190,,120,407,1134,,628,30,68,167,144,110
Fri 13 Apr 2018,,279,230,205,318,61,23,502,311,81,219,79,48,179,420,103,264,200,19,6,489,439,786,445,110,127,96,8,875,745,20,193,,112,378,945,,480,44,44,159,119,83
Sat 14 Apr 2018,,46,42,52,58,21,33,94,52,39,103,43,5,55,137,50,76,72,17,2,48,61,84,82,51,45,28,11,225,204,13,32,,57,100,338,,151,51,6,54,32,37
Sun 15 Apr 2018,,188,72,338,124,70,35,240,187,24,118,82,19,72,251,134,252,325,10,30,166,217,358,479,86,275,38,7,798,630,29,125,,188,145,985,,506,105,253,74,41,155
Mon 16 Apr 2018,,384,243,214,401,66,19,621,449,99,265,84,57,218,608,107,242,258,20,4,575,574,941,555,76,149,53,4,1073,873,42,202,,159,465,1114,,596,124,69,156,118,153
Tue 17 Apr 2018,,495,333,341,485,122,31,800,568,109,338,101,54,251,710,160,372,303,19,16,678,650,1223,778,115,301,34,8,1508,1224,26,237,,218,576,1667,,902,135,144,190,154,222
Wed 18 Apr 2018,,445,265,235,457,59,12,711,496,100,297,80,44,229,639,111,302,234,16,17,583,546,1028,574,119,183,60,5,1050,934,28,204,,183,507,1096,,630,68,68,172,133,147
Thu 19 Apr 2018,,463,310,372,444,95,17,796,525,127,376,98,48,255,720,155,329,316,18,28,690,742,1220,791,112,253,51,5,1298,1101,49,255,,240,523,1368,,728,143,120,212,178,211
Fri 20 Apr 2018,,419,285,312,379,82,19,626,467,101,277,86,46,221,562,130,264,255,22,19,533,579,973,532,155,197,79,8,1191,1190,29,200,,173,465,1271,,817,129,74,171,153,177
Sat 21 Apr 2018,,252,114,308,141,121,16,294,263,42,209,80,34,63,365,175,320,456,30,33,221,330,469,587,161,376,72,8,1089,867,18,117,,197,213,1220,,800,128,223,86,83,209
Sun 22 Apr 2018,,265,100,360,148,75,36,266,350,32,218,63,23,61,314,156,333,592,22,50,291,504,640,743,161,458,70,5,1128,920,23,162,,264,199,1257,,805,226,323,75,90,376
Mon 23 Apr 2018,,426,311,216,449,62,21,691,532,97,304,85,58,247,644,131,262,303,23,12,662,705,1193,705,130,304,68,6,1268,1013,38,211,,205,586,1245,,684,132,94,192,151,204
Tue 24 Apr 2018,,425,309,340,446,83,8,758,519,108,331,85,52,214,707,151,327,314,24,49,661,742,1124,710,126,277,49,7,1276,1087,26,222,,203,608,1413,,791,116,108,202,152,190
Wed 25 Apr 2018,,483,149,540,199,125,40,555,490,51,265,52,19,69,520,220,441,853,27,73,423,760,985,1187,191,750,47,5,1812,1501,50,166,,337,273,1991,,1366,289,348,121,109,584
