Station,Date(NZST),Time(NZST),Amount(mm),Period(Hrs),Freq
37852,20170111,1800,0.0,1,H
22719,20170111,1900,0.0,1,H
37852,20170111,1900,0.0,1,H
22719,20170111,2000,0.0,1,H
37852,20170111,2000,0.0,1,H
22719,20170111,2100,0.0,1,H
37852,20170111,2100,0.0,1,H
22719,20170111,2200,0.0,1,H
37852,20170111,2200,0.0,1,H
22719,20170111,2300,0.0,1,H
37852,20170111,2300,0.0,1,H
22719,20170112,0000,0.0,1,H
37852,20170112,0000,0.0,1,H
22719,20170112,0100,0.0,1,H
37852,20170112,0100,0.0,1,H
22719,20170112,0200,0.0,1,H
37852,20170112,0200,0.0,1,H
22719,20170112,0300,0.0,1,H
37852,20170112,0300,0.0,1,H
22719,20170112,0400,0.0,1,H
37852,20170112,0400,0.0,1,H
22719,20170112,0500,0.0,1,H
37852,20170112,0500,0.0,1,H
22719,20170112,0600,0.1,1,H
37852,20170112,0600,0.0,1,H
22719,20170112,0700,0.0,1,H
37852,20170112,0700,0.0,1,H
22719,20170112,0800,0.0,1,H
37852,20170112,0800,0.0,1,H
22719,20170112,0900,0.0,1,H
37852,20170112,0900,0.0,1,H
22719,20170112,1000,0.0,1,H
37852,20170112,1000,0.0,1,H
22719,20170112,1100,0.0,1,H
37852,20170112,1100,0.0,1,H
22719,20170112,1200,0.0,1,H
37852,20170112,1200,0.0,1,H
22719,20170112,1300,0.0,1,H
37852,20170112,1300,0.0,1,H
22719,20170112,1400,0.0,1,H
37852,20170112,1400,0.0,1,H
22719,20170112,1500,0.0,1,H
37852,20170112,1500,0.0,1,H
22719,20170112,1600,0.0,1,H
37852,20170112,1600,0.0,1,H
22719,20170112,1700,0.0,1,H
37852,20170112,1700,0.0,1,H
22719,20170112,1800,0.0,1,H
37852,20170112,1800,0.0,1,H
22719,20170112,1900,0.0,1,H
37852,20170112,1900,0.0,1,H
22719,20170112,2000,0.0,1,H
37852,20170112,2000,0.0,1,H
22719,20170112,2100,0.0,1,H
37852,20170112,2100,0.0,1,H
22719,20170112,2200,0.0,1,H
37852,20170112,2200,0.0,1,H
22719,20170112,2300,0.0,1,H
37852,20170112,2300,0.0,1,H
22719,20170113,0000,0.0,1,H
37852,20170113,0000,0.0,1,H
22719,20170113,0100,0.0,1,H
